Sub-Category,Total_Sales,Avg_Order_Value,Sales_Volatility,YoY_Growth,Cluster_ID,Business_Label,PCA1,PCA2
Accessories,164186.7,217.17817460317463,2579.99480907113,0.39548249776855904,3,"High Volume, Stable Demand",0.02523475783989399,0.9560560090695767
Appliances,104618.403,227.92680392156865,1821.6215390281989,0.5456452020766439,0,Growing Demand,-0.6068661680905859,1.343513379420731
Art,26705.41,34.019630573248406,330.4883427284576,0.498254849075002,0,Growing Demand,-1.7780556817821578,0.9968124857537632
Binders,200028.785,134.0675502680965,3848.223647875491,0.4638628849019984,3,"High Volume, Stable Demand",0.6274971440496468,1.3944749859206518
Bookcases,113813.1987,503.5982243362832,2229.359866723265,0.1426735163769595,1,Declining Demand,-0.09673102675390279,-0.31283888963177026
Chairs,322822.731,531.8331647446458,4407.232959811409,0.13744514318839984,3,"High Volume, Stable Demand",1.922010591302998,0.30008464198120327
Copiers,146248.094,2215.8802121212125,5104.267436299614,0.3579469404164649,2,"Low Volume, High Volatility",2.6909510694548473,-0.15311507837988814
Envelopes,16128.046,65.03244354838709,234.2657162719798,-0.241905155964192,1,Declining Demand,-1.7432940511602755,-1.9122905796894014
Fasteners,3001.96,14.02785046728972,49.09426438022532,-0.0963780046794058,1,Declining Demand,-1.952848155276754,-1.3665836246450174
Furnishings,89212.018,95.82386466165413,1360.0178672616057,0.050645189985396265,1,Declining Demand,-0.9192745012292226,-0.5609270542859895
Labels,12347.726,34.587467787114846,223.47121839221344,0.3767146734654416,0,Growing Demand,-1.881219218511101,0.483274343604217
Machines,189238.631,1645.5533130434783,5442.477299531548,-0.22112143752739147,2,"Low Volume, High Volatility",2.6285332527925362,-1.982866865693063
Paper,76828.304,57.42025710014948,1024.8249818349852,0.3531790052210848,0,Growing Demand,-1.192929828356376,0.5839627785452075
Phones,327782.448,374.1808767123287,4052.718220520821,0.3421200350460549,3,"High Volume, Stable Demand",1.6435894266120976,1.1735635512524738
Storage,219343.392,263.6338846153846,2822.0843101166624,0.1586457138550418,3,"High Volume, Stable Demand",0.49744665789876746,0.18007027268830292
Supplies,46420.308,252.28428260869563,1975.222902711991,0.12007072574353043,1,Declining Demand,-0.7885271879420779,-0.47474585960693366
Tables,202810.628,645.8937197452229,3224.082504460717,0.002163025520220356,3,"High Volume, Stable Demand",0.9244829191516654,-0.6484444963040629
